X,Y,objectid,match_addr,company_name,nace_rev_2_code,kod,interval,odvětví,industry
16.6288600570001,49.205071344,5810,"Husovická 884/4, 614 00, Husovice, Brno-sever, Brno, Brno-město, Jihomoravský kraj","Ekopontis, s.r.o.",7490,74,10 - 19,"Ostatní odborné, vědecké a technické činnosti","Other professional, scientific and technical activities"
16.607037185,49.1888920910001,5811,"Nové sady 988/2, 602 00, Staré Brno, Brno-střed, Brno, Brno-město, Jihomoravský kraj",SOLEDO s.r.o.,461,46,10 - 19,Velkoobchod,Wholesale trade
16.620626429,49.190277243,5812,"Cyrilská 508/7, 602 00, Trnitá, Brno-střed, Brno, Brno-město, Jihomoravský kraj",MainTask s.r.o.,620,62,10 - 19,Těžba zemního plynu,Extraction of natural gas
16.5392185360001,49.191914689,5813,"Potocká 58/7, 623 00, Kohoutovice, Brno-Kohoutovice, Brno, Brno-město, Jihomoravský kraj",Belief s.r.o.,461,46,10 - 19,Velkoobchod,Wholesale trade
16.638220715,49.204841093,5814,"Koperníkova 4338/17, 615 00, Židenice, Brno-Židenice, Brno, Brno-město, Jihomoravský kraj",KNK restaurace onyx s.r.o.,5610,56,10 - 19,Poskytování stravování a podávání nápojů,Food and beverage service activities
16.6190085540001,49.2222588550001,5815,"Křižíkova 3009/72a, 612 00, Královo Pole, Brno-Královo Pole, Brno, Brno-město, Jihomoravský kraj",Winning s.r.o.,47,47,10 - 19,Maloobchod,Retail trade
16.6447338730001,49.20099887,5816,"Gajdošova 4392/7, 615 00, Židenice, Brno-Židenice, Brno, Brno-město, Jihomoravský kraj",Ortho Dent s.r.o.,8623,86,10 - 19,Zdravotní péče,Human health activities
16.575572526,49.251569574,5817,"Terezy Novákové 1283/64, 621 00, Řečkovice, Brno-Řečkovice a Mokrá Hora, Brno, Brno-město, Jihomoravský kraj",AUTODOPRAVA Bednár s.r.o.,38,38,10 - 19,"Sběr odpadů, zpracování odpadů k dalšímu využití a odstraňování odpadů","Waste collection, recovery and disposal activities"
16.5521672350001,49.2085096420001,5818,"Nálepkova 979/48, 637 00, Jundrov, Brno-Jundrov, Brno, Brno-město, Jihomoravský kraj",TOMRA stav s.r.o.,4120,41,10 - 19,Výstavba bytových a nebytových budov,Construction of residential and non-residential buildings
16.6005564650001,49.19727433,5819,"Údolní 388/8, 602 00, Veveří, Brno-střed, Brno, Brno-město, Jihomoravský kraj",AVA pack s.r.o.,16,16,10 - 19,Podpůrné činnosti pro zemědělství a posklizňové činnosti,Support activities to agriculture and post-harvest crop activities
16.575572526,49.251569574,5820,"Terezy Novákové 1283/64, 621 00, Řečkovice, Brno-Řečkovice a Mokrá Hora, Brno, Brno-město, Jihomoravský kraj",Služby Minks s.r.o.,16,16,10 - 19,Podpůrné činnosti pro zemědělství a posklizňové činnosti,Support activities to agriculture and post-harvest crop activities
16.613628127,49.2000691910001,5821,"Příkop 843/4, 602 00, Zábrdovice, Brno-střed, Brno, Brno-město, Jihomoravský kraj",LUNEX Trade s.r.o.,471,47,10 - 19,Maloobchod,Retail trade
16.620722905,49.192189322,5822,"Špitálka 124/37, 602 00, Trnitá, Brno-střed, Brno, Brno-město, Jihomoravský kraj",MORNING INVEST s.r.o.,16,16,10 - 19,Podpůrné činnosti pro zemědělství a posklizňové činnosti,Support activities to agriculture and post-harvest crop activities
16.607037185,49.1888920910001,5823,"Nové sady 988/2, 602 00, Staré Brno, Brno-střed, Brno, Brno-město, Jihomoravský kraj",MicroCen Trans s.r.o.,16,16,10 - 19,Podpůrné činnosti pro zemědělství a posklizňové činnosti,Support activities to agriculture and post-harvest crop activities
16.613537686,49.1738362230001,5824,"Železná 688/10, 619 00, Horní Heršpice, Brno-jih, Brno, Brno-město, Jihomoravský kraj",PBK BM s.r.o.,2550,25,10 - 19,"Výroba kovových výrobků, kromě strojů a zařízení","Manufacture of fabricated metal products, except machinery and equipment"
16.572786717,49.2328454920001,5825,"Purkyňova 648/125, 612 00, Medlánky, Brno-Medlánky, Brno, Brno-město, Jihomoravský kraj",inzagi s.r.o.,620,62,10 - 19,Těžba zemního plynu,Extraction of natural gas
16.6363956390001,49.1880050760001,5826,"Štolcova 569/31, 618 00, Černovice, Brno-Černovice, Brno, Brno-město, Jihomoravský kraj",AKP spol. s r.o.,4661,46,10 - 19,Velkoobchod,Wholesale trade
16.607037185,49.1888920910001,5827,"Nové sady 988/2, 602 00, Staré Brno, Brno-střed, Brno, Brno-město, Jihomoravský kraj",BreeQ Trade s.r.o.,4690,46,10 - 19,Velkoobchod,Wholesale trade
16.692473337,49.1992674210001,5828,"Holzova 2868/10, 628 00, Líšeň, Brno-Líšeň, Brno, Brno-město, Jihomoravský kraj",BRUCO SERVICE s.r.o.,8129,81,10 - 19,"Dobývání kamene, písků a jílů","Quarrying of stone, sand and clay"
16.6059990860001,49.190137894,5829,"Kopečná 940/14, 602 00, Staré Brno, Brno-střed, Brno, Brno-město, Jihomoravský kraj",HK GASTROTEC s.r.o.,5610,56,10 - 19,Poskytování stravování a podávání nápojů,Food and beverage service activities
16.6354898910001,49.246391067,5830,"Panská lícha 632/6, 614 00, Obřany, Brno-Maloměřice a Obřany, Brno, Brno-město, Jihomoravský kraj","Hotel Panská lícha, s.r.o.",5610,56,10 - 19,Poskytování stravování a podávání nápojů,Food and beverage service activities
16.6019046100001,49.143057162,5831,"Vídeňská 186/118, 619 00, Přízřenice, Brno-jih, Brno, Brno-město, Jihomoravský kraj",Abacra stavebnís.r.o.,4312,43,10 - 19,Specializované stavební činnosti,Specialised construction activities
16.5788809470001,49.241451947,5832,"Ječná 1321/29a, 621 00, Řečkovice, Brno-Řečkovice a Mokrá Hora, Brno, Brno-město, Jihomoravský kraj",Bamboolik s.r.o.,1419,14,10 - 19,Živočišná výroba,Animal production
16.6019046100001,49.143057162,5833,"Vídeňská 186/118, 619 00, Přízřenice, Brno-jih, Brno, Brno-město, Jihomoravský kraj",ABACRA HOLDING a.s.,7729,77,10 - 19,Činnosti v oblasti pronájmu a leasingu,Rental and leasing activities
16.623160027,49.2139753980001,5834,"Mathonova 890/20, 613 00, Černá Pole, Brno-sever, Brno, Brno-město, Jihomoravský kraj",VIOLI res s.r.o.,5610,56,10 - 19,Poskytování stravování a podávání nápojů,Food and beverage service activities
16.607037185,49.1888920910001,5835,"Nové sady 988/2, 602 00, Staré Brno, Brno-střed, Brno, Brno-město, Jihomoravský kraj","Ofigo, s.r.o.",7311,73,10 - 19,"Činnosti v oblasti reklamy, průzkumu trhu a vztahů s veřejností","Activities of advertising, market research and public relations"
16.6157490000001,49.198810397,5836,"Bratislavská 193/7, 602 00, Zábrdovice, Brno-střed, Brno, Brno-město, Jihomoravský kraj","BARNEX, s.r.o.",4779,47,10 - 19,Maloobchod,Retail trade
16.566258136,49.1755318400001,5837,"Palachovo náměstí 726/2, 625 00, Starý Lískovec, Brno-Starý Lískovec, Brno, Brno-město, Jihomoravský kraj",Campus River s.r.o.,5610,56,10 - 19,Poskytování stravování a podávání nápojů,Food and beverage service activities
16.6237382950001,49.143726164,5838,"Staré náměstí 26/27, 619 00, Přízřenice, Brno-jih, Brno, Brno-město, Jihomoravský kraj",Cosabella s.r.o.,6820,68,10 - 19,Činnosti v oblasti nemovitostí,Real estate activities
16.59590124,49.201610665,5839,"Jiráskova 229/25, 602 00, Veveří, Brno-střed, Brno, Brno-město, Jihomoravský kraj","SCHEJBAL & PARTNERS s.r.o., advokátníkancelár",6910,69,10 - 19,Právní a účetnické činnosti,Legal and accounting activities
16.6570222460001,49.2037493920001,5840,"Mutěnická 4126/7, 628 00, Židenice, Brno-Vinohrady, Brno, Brno-město, Jihomoravský kraj","JIMIPLET, s.r.o.",139,13,10 - 19,Množení rostlin,Plant propagation
